,source,target,weight
0,721374975135916032,22258315,41
1,721374975135916032,721374975135916032,10
2,721374975135916032,20402945,8
3,721374975135916032,14216123,3
4,721374975135916032,1311389006693834752,3
5,721374975135916032,1146058067244486656,10
6,721374975135916032,404422077,1
7,721374975135916032,1280241715987660801,1
8,721374975135916032,190016265,1
9,721374975135916032,770583695652560896,3
10,721374975135916032,2902349190,1
11,721374975135916032,907434824859660288,1
12,721374975135916032,101263750,1
13,721374975135916032,3170899658,1
14,721374975135916032,763959596,1
15,721374975135916032,3214466631,1
16,721374975135916032,22736017,2
17,721374975135916032,816412233488015360,1
18,721374975135916032,1397588327818276864,2
19,721374975135916032,65174274,1
20,721374975135916032,622472992,1
21,721374975135916032,708579171740557313,1
22,721374975135916032,136107849,1
23,721374975135916032,134122819,2
24,721374975135916032,376502929,1
25,721374975135916032,2409543974,1
26,721374975135916032,1333171793201225728,1
27,721374975135916032,880602945632575488,1
28,721374975135916032,18888713,1
29,721374975135916032,17915334,1
30,721374975135916032,1418496858641641475,1
31,721374975135916032,24278900,1
32,721374975135916032,716356263492325376,2
33,721374975135916032,132703700,1
34,721374975135916032,19400611,1
35,1311005651926159360,1149046671696732160,1
36,1311005651926159360,1021815485619482625,1
37,1149046671696732160,22258315,2
38,1149046671696732160,74286565,1
39,1149046671696732160,23059499,1
40,83749263,851997752062083072,1
41,83749263,1172960306,1
42,83749263,1033127171298975744,1
43,83749263,1019121058069217280,1
44,83749263,214479702,1
45,83749263,60659933,1
46,83749263,1187991921806979072,1
47,83749263,1060400768,1
48,83749263,61558281,1
49,83749263,1146058067244486656,1
50,83749263,2961979644,1
51,83749263,412833880,1
52,83749263,792104223869657088,1
53,83749263,2902349190,1
54,1136370591517290496,1313858964908580864,1
55,1136370591517290496,336116161,1
56,1136370591517290496,524732173,1
57,1136370591517290496,291384242,2
58,1136370591517290496,15296897,2
59,1136370591517290496,1330006124041474048,1
60,1136370591517290496,1346933988015828992,1
61,1136370591517290496,1318785455870103552,1
62,1136370591517290496,3311526940,1
63,1136370591517290496,942077747408588800,1
64,1136370591517290496,178772960,1
65,1136370591517290496,797769606,1
66,1136370591517290496,813793495,1
67,1136370591517290496,4859660471,1
68,1136370591517290496,2577886615,1
69,1136370591517290496,1351950122595315721,1
70,1136370591517290496,1172914197405077511,1
71,1136370591517290496,243318995,1
72,1136370591517290496,2260491445,1
73,1136370591517290496,1266176728004730886,1
74,1136370591517290496,4772477709,1
75,1136370591517290496,1354600113843396609,1
76,1136370591517290496,974443788973330432,1
77,1136370591517290496,1375678086,1
78,1136370591517290496,1331673027705180160,1
79,1136370591517290496,16659534,1
80,1136370591517290496,1354472301132193793,2
81,1136370591517290496,1357341659726368786,1
82,1136370591517290496,1354454537780662275,1
83,1136370591517290496,1288685835651436544,1
84,1136370591517290496,1194984822,1
85,1136370591517290496,901551317042077696,1
86,1136370591517290496,50287678,1
87,1136370591517290496,270178689,1
88,1136370591517290496,1349422856183173121,1
89,1136370591517290496,227755413,1
90,1136370591517290496,458068232,2
91,1136370591517290496,1286713325728890881,1
92,1136370591517290496,3797540417,1
93,1136370591517290496,971517784688611328,1
94,1136370591517290496,2278470127,1
95,1136370591517290496,1289947835090137089,5
96,1136370591517290496,817460421011578881,1
97,1136370591517290496,873389997822443520,1
98,1136370591517290496,62610551,2
